bankCode,bankName,dest
840,TRADE LINK SECURITIES LTD,C:/python_work/bvn_user_actitities/destination/
841,APT securities and Funds Limited,C:/python_work/bvn_user_actitities/destination/
842,Dominion Trust Ltd,C:/python_work/bvn_user_actitities/destination/
843,ECL Asset Management Limited,C:/python_work/bvn_user_actitities/destination/
844,ROSTRUM INVESTMENT & SECURITIES LTD,C:/python_work/bvn_user_actitities/destination/
845,Mutual Alliance Inv. & Sec Ltd,C:/python_work/bvn_user_actitities/destination/
846,NIGERIAN STOCKBROKERS LIMITED,C:/python_work/bvn_user_actitities/destination/
847,SIGNET INVESTMENTS & SECURITIES LTD,C:/python_work/bvn_user_actitities/destination/
848,CENTURY SECURITIES LTD,C:/python_work/bvn_user_actitities/destination/
849,EDC SECURITIES LIMITED,C:/python_work/bvn_user_actitities/destination/
850,MARRIOT SECURITIES & INVESTMENT CO. LTD,C:/python_work/bvn_user_actitities/destination/
851,Vetiva Securities Limited,C:/python_work/bvn_user_actitities/destination/
852,Molten Trust Ltd,C:/python_work/bvn_user_actitities/destination/
854,Primera Africa Securities Limited,C:/python_work/bvn_user_actitities/destination/
855,FSDH SECURITIES LIMITED,C:/python_work/bvn_user_actitities/destination/
856,SPRING TRUST & SECURITIES LTD,C:/python_work/bvn_user_actitities/destination/
857,PEACE CAPITAL MARKET LTD,C:/python_work/bvn_user_actitities/destination/
858,Eurocomm Securities limited,C:/python_work/bvn_user_actitities/destination/
859,Pilot Securities Limited,C:/python_work/bvn_user_actitities/destination/
860,Sigma Securities Ltd,C:/python_work/bvn_user_actitities/destination/
861,FORTIS MICROFINANCE BANK PLC,C:/python_work/bvn_user_actitities/destination/
862,Rowet Capital Management Ltd,C:/python_work/bvn_user_actitities/destination/
863,IMPERIAL ASSET MANAGERS LIMITED,C:/python_work/bvn_user_actitities/destination/
864,Associated Asset Managers Limited,C:/python_work/bvn_user_actitities/destination/
865,TRW STOCKBROKERS LTD,C:/python_work/bvn_user_actitities/destination/
866,LEAD SECURITIES AND INVESTMENT LIMITED,C:/python_work/bvn_user_actitities/destination/
867,First stock broker Ltd,C:/python_work/bvn_user_actitities/destination/
868,del_ADONAI STOCKBROKERS LTD,C:/python_work/bvn_user_actitities/destination/
869,ARM,C:/python_work/bvn_user_actitities/destination/
871,GLOBALVIEW CONSULT & INVESTMENTS LTD,C:/python_work/bvn_user_actitities/destination/
872,MERISTEM STOCKBROKERS LIMITED,C:/python_work/bvn_user_actitities/destination/
873,WSTC FINANCIAL SERVICES LIMITED,C:/python_work/bvn_user_actitities/destination/
874,AFRICAN ALLIANCE STOCKBROKERS LTD,C:/python_work/bvn_user_actitities/destination/
875,QUANTUM SECURITIES LTD,C:/python_work/bvn_user_actitities/destination/
876,DUNBELL SECURITIES LIMITED,C:/python_work/bvn_user_actitities/destination/
877,Chapel Hill Denham Securities Limited,C:/python_work/bvn_user_actitities/destination/
878,Diamond Securities Limited,C:/python_work/bvn_user_actitities/destination/
879,CAPITAL BANCORP  PLC,C:/python_work/bvn_user_actitities/destination/
880,APEL ASSET LTD,C:/python_work/bvn_user_actitities/destination/
881,COWRY SECURITIES LIMITED,C:/python_work/bvn_user_actitities/destination/
882,FBN MERCHANT BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
884,Futureview Securities Ltd,C:/python_work/bvn_user_actitities/destination/
885,FIRST GENERATION MORTGAGE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
886,Infinity Trust Mortgage Bank,C:/python_work/bvn_user_actitities/destination/
887,SECURITIES AND CAPITAL AMANGEMENT COMPANY LIMITED,C:/python_work/bvn_user_actitities/destination/
888,HAGGAI MORTGAGE BANK LTD,C:/python_work/bvn_user_actitities/destination/
889,FBN SECURITIES LTD,C:/python_work/bvn_user_actitities/destination/
890,INVESTMENT ONE STOCKBROKERS INT'L LTD,C:/python_work/bvn_user_actitities/destination/
891,Pagatech Limited,C:/python_work/bvn_user_actitities/destination/
892,Lambeth Trust & Inv Co. Ltd,C:/python_work/bvn_user_actitities/destination/
893,ELIXIR SECURITIES LIMITED,C:/python_work/bvn_user_actitities/destination/
900,NIBSS,C:/python_work/bvn_user_actitities/destination/
900,NIBSSBVNSDK,C:/python_work/bvn_user_actitities/destination/
901,visual ict ltd,C:/python_work/bvn_user_actitities/destination/
902,AELLA FINANCIAL SOLUTIONS,C:/python_work/bvn_user_actitities/destination/
903,JUBILEE-LIFE MORTGAGE BANK,C:/python_work/bvn_user_actitities/destination/
904,Edgefield Capital Management Ltd,C:/python_work/bvn_user_actitities/destination/
905,CHARTWELL SECURITIES LIMITED,C:/python_work/bvn_user_actitities/destination/
906,Livingtrust Mortgage Bank Plc,C:/python_work/bvn_user_actitities/destination/
907,IMPERIAL HOMES MBL,C:/python_work/bvn_user_actitities/destination/
908,Transworld Invesment & Securities Ltd,C:/python_work/bvn_user_actitities/destination/
909,ARM Investment Managers,C:/python_work/bvn_user_actitities/destination/
910,Bank of Agriculture,C:/python_work/bvn_user_actitities/destination/
912,EFCC,C:/python_work/bvn_user_actitities/destination/
913,Feghas Solutions Ltd,C:/python_work/bvn_user_actitities/destination/
914,Heartbeat Investments Limited,C:/python_work/bvn_user_actitities/destination/
915,SEED CAPITAL MICROFINANCE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
916,ADONAI STOCKBROKERS LTD,C:/python_work/bvn_user_actitities/destination/
917,TRUSTHOUSE INVESTMENTS LIMITED,C:/python_work/bvn_user_actitities/destination/
