bankCode
0
1
9
011
14
23
24
30
32
33
35
044
50
57
058
63
68
70
76
82
84
88
100
101
102
103
104
105
106
107
111
123
124
140
212
214
215
221
232
301
302
333
345
445
501
502
559
561
723
772
800
802
803
804
805
806
807
808
809
810
811
812
813
814
815
816
817
818
819
820
821
822
823
824
825
826
827
828
829
830
831
832
834
836
837
838
839
840
841
842
843
844
845
846
847
848
849
850
851
852
854
855
856
857
858
859
860
861
862
863
864
865
866
867
868
869
871
872
873
874
875
876
877
878
879
880
881
882
884
885
886
887
888
889
890
891
892
893
900
901
902
903
904
905
906
907
908
909
910
912
913
914
915
916
917
918
919
920
921
922
923
924
926
927
928
929
930
931
932
933
934
935
936
938
939
940
941
942
943
944
945
946
947
948
949
999
1001
1009
1678
2001
2011
2013
2015
2222
9405
11123
12345
14587
20007
20008
20009
20010
25470
33123
33211
34567
35123
40003
40172
40175
44043
44916
50219
50220
50362
50373
50564
50743
51036
51113
51336
52147
52525
57000
57110
57111
57123
57321
57444
57639
58000
58123
59978
70110
70113
70123
70234
76001
76123
76222
90111
90115
90527
90564
98657
98789
100111
101000
101110
101111
101123
101150
101234
102050
102121
102458
102486
102560
104202
111000
111110
111222
111856
111908
112000
112333
123000
123456
123489
123865
124000
124791
125000
125487
147890
147896
154789
199405
200010
200011
202020
202101
202102
202105
202106
202107
202109
202110
202111
202112
202113
202114
202115
202116
202120
202121
202123
202125
202126
202127
202128
202129
202130
202131
202132
202135
202136
202138
202139
202140
202142
202143
202144
202145
202150
202151
202291
211222
214000
214123
214702
215478
221000
221014
221100
221110
221111
221123
221128
221221
221223
221333
221345
221456
222111
222456
232001
232012
232022
232080
232120
232123
232134
232333
232345
232415
232999
251433
252525
254710
255556
256487
256879
258746
258796
258974
259746
260261
272525
302010
323031
323232
325226
345678
345768
352541
362514
365218
369854
369874
378909
411002
411010
411012
411402
411422
411424
411700
411741
411744
414785
418576
424242
432112
435362
444222
452411
453627
454112
454123
454411
454546
454647
455454
455485
456456
456546
456777
456787
456987
457896
475896
500000
500001
500002
500005
500008
500015
500021
500022
500025
500026
500029
500030
500031
500032
500033
500036
500043
500045
500046
500047
500055
500056
500060
500070
500071
500072
500079
500090
500091
500092
500093
500095
500098
500099
500100
500101
500102
500103
500105
500106
500107
500108
500109
500130
500200
500222
500230
500277
500300
500501
500505
500506
500507
500510
500511
500512
500513
500514
500515
500545
500599
500600
500700
500707
500708
500710
500713
500717
500719
500725
500733
500741
500767
500771
500777
500987
500999
501230
501720
502700
503000
503711
504030
504714
505050
505700
506700
507730
507770
508710
509230
509741
510700
511030
512140
515151
516100
520438
522222
522512
523030
523031
523032
523033
523034
523035
523036
523037
523038
523039
523040
523041
523042
523043
523044
523045
523046
523047
523048
523049
523050
523051
523052
523053
523054
523055
523056
523057
523058
523059
523060
523061
523062
523063
523064
523065
523066
523067
523068
